,ALLOW_UE_AND_NOTATION_EVENTS,BUFFER_SIZE,CURRENT_BASE_URI,DYNAMIC_VALIDATION,ENTITY_RESOLVER,ERROR_REPORTER,FEATURE_DEFAULTS,HTTP_ACCEPT,HTTP_ACCEPT_LANGUAGE,JAXP_SCHEMA_LANGUAGE,PARSER_SETTINGS,PROPERTY_DEFAULTS,RECOGNIZED_FEATURES,RECOGNIZED_PROPERTIES,SCHEMA_VALIDATION,SECURITY_MANAGER,STATE_EXPECT_FALLBACK,STATE_IGNORE,STATE_NORMAL_PROCESSING,SYMBOL_TABLE,VALIDATION,XINCLUDE_ATTR_ACCEPT,XINCLUDE_ATTR_ACCEPT_LANGUAGE,XINCLUDE_ATTR_ENCODING,XINCLUDE_ATTR_HREF,XINCLUDE_ATTR_PARSE,XINCLUDE_DEFAULT_CONFIGURATION,XINCLUDE_FALLBACK,XINCLUDE_FIXUP_BASE_URIS,XINCLUDE_FIXUP_LANGUAGE,XINCLUDE_INCLUDE,XINCLUDE_INCLUDED,XINCLUDE_NS_URI,XINCLUDE_PARSE_TEXT,XINCLUDE_PARSE_XML,XML_BASE_QNAME,XML_LANG_QNAME,XPOINTER,fBufferSize,fChildConfig,fCurrentBaseURI,fCurrentLanguage,fDTDHandler,fDTDSource,fDepth,fDocLocation,fDocumentHandler,fDocumentSource,fEntityResolver,fErrorReporter,fFixupBaseURIs,fFixupLanguage,fHasIncludeReportedContent,fHrefFromParent,fInDTD,fIsXML11,fNamespaceContext,fNeedCopyFeatures,fParentRelativeURI,fParentXIncludeHandler,fResultDepth,fSawFallback,fSawInclude,fSecurityManager,fSeenRootElement,fSendUEAndNotationEvents,fSettings,fState,fSymbolTable,fXInclude10TextReader,fXInclude11TextReader,fXIncludeChildConfig,fXIncludeLocator,fXIncludeMessageFormatter,fXPointerChildConfig,fXPtrProcessor,gAfterEscaping1,gAfterEscaping2,gHexChs,gNeedEscaping,method_name
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,startConditional
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,startDTD
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,startExternalSubset
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,startParameterEntity
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unparsedEntityDecl
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,getDTDHandler
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,setDTDHandler
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,setErrorReporter
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,handleFallbackElement
50,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,handleIncludeElement
